,0
pj_no,False
jukyo,False
chiseki_js_hb,False
chiseki_kb_hb,True
yoto1,False
yoto2,True
kempei1,False
kempei2,True
yoseki1,False
yoseki2,True
josui,False
gesui,False
gas,False
usui,False
tateuri_su,True
tochiuri_su,True
joken_su,True
hy1f_date_su,True
hy2f_date_su,True
hy3f_date_su,True
road1_hk,False
road1_sb,False
road1_fi,False
road1_mg,False
road2_hk,True
road2_sb,True
road2_fi,True
road2_mg,True
road3_hk,True
road3_sb,True
road3_fi,True
road3_mg,True
road4_hk,True
road4_sb,True
road4_fi,True
road4_mg,True
kaoku_um,False
kaoku_hb,True
yheki_kotei,False
yheki_umu,False
yheki_yohi,False
gk_sho_kyori,False
gk_chu_kyori,False
kborjs,False
hw_status,False
toshikuiki1,False
toshikuiki2,True
kodochiku,False
chikukeikaku,False
keikakuroad,False
kaihatsukyoka,False
t53kyoka,False
hokakyoka,False
bokachiiki,False
minmenseki,True
hokakisei1,True
hokakisei2,True
hokakisei3,True
hokakisei4,True
kinshijiko,False
rosenka_hb,False
koji_hb,False
kijun_hb,False
mseki_yt_hb,False
mseki_rd_hb,True
mseki_dp_hb,True
tc_mseki_min_hb,False
tc_mseki_max_hb,False
tt_mseki_min_hb,False
tt_mseki_max_hb,False
tc_mseki_avg_hb,False
tt_mseki_avg_hb,True
fi4m_yohi,False
fi3m_yohi,False
fi4m_kyori,True
fi3m_kyori,True
bus_yohi,False
bus_hon,True
sho_conv,True
sho_super,True
sho_shoten,True
sho_market,True
shu_jutaku,True
shu_park,True
shu_shop,True
shu_factory,True
shu_hvline,True
shu_tower,True
shu_bochi,True
shu_sogi,True
shu_zoki,True
shu_kokyo,True
shu_highway,True
shu_kaido,True
shu_line_ari,True
shu_line_nashi,True
shu_soon,True
gk_yoc_tm,False
gk_sho_tm,False
gk_chu_tm,False
rs_e_kdate2,True
rs_e_kdate3,True
rs_e_parking,True
rs_e_zoki,True
rs_e_m_ari,True
rs_e_m_nashi,True
rs_e_tahata,True
rs_w_kdate2,True
rs_w_kdate3,True
rs_w_parking,True
rs_w_zoki,True
rs_w_m_ari,True
rs_w_m_nashi,True
rs_w_tahata,True
rs_s_kdate2,True
rs_s_kdate3,True
rs_s_parking,True
rs_s_zoki,True
rs_s_m_ari,True
rs_s_m_nashi,True
rs_s_tahata,True
rs_n_kdate2,True
rs_n_kdate3,True
rs_n_parking,True
rs_n_zoki,True
rs_n_m_ari,True
rs_n_m_nashi,True
rs_n_tahata,True
rosen_nm1,False
eki_nm1,False
bas_toho1,False
eki_kyori1,False
bastei_nm1,True
teiho1,True
rosen_nm2,True
eki_nm2,True
bas_toho2,True
eki_kyori2,True
bastei_nm2,True
teiho2,True
id,False
keiyaku_pr,False
tc_mseki,False
tt_mseki,False
levelplan,True
fukuin,True
road_st,True
magutchi,True
setsudo_hi,True
setsudo_kj,True
jigata,True
hiatari,True
niwasaki,False
garage,False
kobetsu1,True
kobetsu2,True
kobetsu3,True
kobetsu4,True
